Shipment_ID,Customer_ID,Order_Date,Delivery_Date,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Status,Delivery_Days,Delivery_Performance
SHP00381,CUST0192,2024-01-12,2024-01-15,Central,North,Document,Express,601,Delivered,3,On Time
SHP01066,CUST0444,2024-01-12,2024-01-14,West,West,Parcel,Same Day,673,Delivered,2,On Time
SHP01767,CUST0277,2024-01-12,2024-01-18,North,North,Parcel,Standard,473,Delivered,6,Not On Time
SHP00756,CUST0161,2024-01-13,2024-01-17,North,East,Electronics,Standard,339,Delivered,4,Not On Time
SHP01399,CUST0460,2024-01-14,2024-01-16,Central,East,Parcel,Standard,87,Delayed,2,Not On Time
SHP00039,CUST0314,2024-01-14,2024-01-18,East,East,Fragile,Standard,320,Delayed,4,Not On Time
SHP01467,CUST0022,2024-01-14,2024-01-16,Central,South,Fragile,Standard,110,Delayed,2,Not On Time
SHP00820,CUST0253,2024-01-15,2024-01-17,East,West,Document,Express,430,Delivered,2,On Time
SHP00075,CUST0236,2024-01-15,2024-01-20,East,North,Parcel,Same Day,511,Delivered,5,Not On Time
SHP01112,CUST0345,2024-01-16,2024-01-19,East,West,Parcel,Express,332,Delayed,3,Not On Time
SHP01240,CUST0049,2024-01-17,2024-01-20,East,Central,Fragile,Express,588,Delivered,3,On Time
SHP00242,CUST0475,2024-01-17,2024-01-18,South,North,Document,Standard,282,Delayed,1,Not On Time
SHP01888,CUST0059,2024-01-17,2024-01-20,West,East,Parcel,Standard,378,Delivered,3,On Time
SHP00916,CUST0170,2024-01-18,2024-01-22,East,North,Fragile,Standard,319,Delivered,4,Not On Time
SHP00261,CUST0476,2024-01-18,2024-01-19,East,Central,Document,Same Day,441,Delivered,1,On Time
SHP01560,CUST0188,2024-01-19,2024-01-21,Central,Central,Parcel,Standard,409,Delayed,2,Not On Time
SHP00282,CUST0464,2024-01-20,2024-01-22,West,North,Parcel,Express,486,Delivered,2,On Time
SHP01602,CUST0271,2024-01-21,2024-01-22,East,South,Document,Standard,176,Delivered,1,On Time
SHP01449,CUST0190,2024-01-21,2024-01-22,North,North,Parcel,Same Day,551,Delivered,1,On Time
SHP00033,CUST0446,2024-01-21,2024-01-26,North,Central,Electronics,Standard,494,Delivered,5,Not On Time
SHP01882,CUST0175,2024-01-21,2024-01-23,East,Central,Fragile,Standard,388,Delivered,2,On Time
SHP01302,CUST0446,2024-01-21,2024-01-27,East,West,Parcel,Standard,427,Delivered,6,Not On Time
SHP01268,CUST0051,2024-01-22,2024-01-29,North,Central,Parcel,Standard,329,Delivered,7,Not On Time
SHP00017,CUST0364,2024-01-22,2024-01-27,Central,North,Fragile,Express,519,Delivered,5,Not On Time
SHP01393,CUST0055,2024-01-22,2024-01-26,North,Central,Parcel,Standard,293,Delivered,4,Not On Time
SHP00834,CUST0244,2024-01-23,2024-01-24,South,North,Document,Standard,310,Delivered,1,On Time
SHP00358,CUST0320,2024-01-23,2024-01-24,West,Central,Parcel,Standard,94,Delivered,1,On Time
SHP01429,CUST0131,2024-01-24,2024-01-27,South,North,Document,Standard,295,Delivered,3,On Time
SHP00886,CUST0485,2024-01-25,2024-01-29,North,Central,Electronics,Express,441,Delivered,4,Not On Time
SHP01052,CUST0307,2024-01-25,2024-01-27,East,East,Parcel,Express,175,Failed,2,Not On Time
SHP00689,CUST0135,2024-01-25,2024-01-26,South,North,Parcel,Express,305,Delayed,1,Not On Time
SHP00230,CUST0021,2024-01-27,2024-01-29,North,Central,Electronics,Standard,460,Delivered,2,On Time
SHP01007,CUST0329,2024-01-27,2024-01-30,Central,Central,Document,Express,195,Cancelled,3,Not On Time
SHP00665,CUST0167,2024-01-28,2024-01-30,West,Central,Parcel,Standard,212,Delivered,2,On Time
SHP01473,CUST0274,2024-01-28,2024-02-01,East,Central,Parcel,Express,130,Delivered,4,Not On Time
SHP00681,CUST0388,2024-01-28,2024-01-31,South,West,Document,Express,150,Delivered,3,On Time
SHP00993,CUST0089,2024-01-29,2024-02-01,West,East,Electronics,Standard,281,Delivered,3,On Time
SHP01123,CUST0316,2024-01-29,2024-02-04,West,North,Electronics,Standard,437,Delivered,6,Not On Time
SHP00456,CUST0014,2024-01-29,2024-02-04,West,Central,Electronics,Standard,397,Cancelled,6,Not On Time
SHP01281,CUST0242,2024-01-29,2024-02-03,North,Central,Fragile,Express,227,Delivered,5,Not On Time
SHP01893,CUST0265,2024-01-29,2024-01-30,Central,Central,Document,Standard,217,Delivered,1,On Time
SHP01025,CUST0346,2024-01-29,2024-02-01,North,West,Electronics,Standard,393,Delivered,3,On Time
SHP00910,CUST0053,2024-02-01,2024-02-06,South,West,Parcel,Standard,81,Delivered,5,Not On Time
SHP00696,CUST0386,2024-02-03,2024-02-05,Central,North,Document,Express,160,Delivered,2,On Time
SHP01002,CUST0340,2024-02-03,2024-02-08,North,Central,Parcel,Express,536,Delivered,5,Not On Time
SHP00566,CUST0092,2024-02-03,2024-02-04,North,North,Parcel,Express,517,Delivered,1,On Time
SHP01421,CUST0367,2024-02-04,2024-02-05,West,West,Parcel,Standard,191,Delivered,1,On Time
SHP00048,CUST0444,2024-02-04,2024-02-05,North,Central,Electronics,Standard,173,Delayed,1,Not On Time
SHP00384,CUST0455,2024-02-04,2024-02-05,South,South,Parcel,Standard,382,Delivered,1,On Time
SHP00280,CUST0428,2024-02-05,2024-02-10,South,Central,Electronics,Express,168,Delayed,5,Not On Time
SHP01690,CUST0264,2024-02-05,2024-02-12,West,Central,Document,Express,594,Delivered,7,Not On Time
SHP01637,CUST0431,2024-02-05,2024-02-08,North,North,Parcel,Express,501,Delivered,3,On Time
SHP00409,CUST0035,2024-02-06,2024-02-09,North,South,Parcel,Express,221,Delivered,3,On Time
SHP01199,CUST0206,2024-02-06,2024-02-09,South,Central,Document,Express,427,Delivered,3,On Time
SHP01255,CUST0081,2024-02-06,2024-02-08,East,Central,Fragile,Standard,331,Cancelled,2,Not On Time
SHP01195,CUST0420,2024-02-07,2024-02-10,South,North,Parcel,Same Day,367,Delivered,3,On Time
SHP00226,CUST0050,2024-02-07,2024-02-11,Central,Central,Fragile,Express,213,Delivered,4,Not On Time
SHP01107,CUST0360,2024-02-08,2024-02-09,North,North,Document,Standard,334,Delivered,1,On Time
SHP01292,CUST0388,2024-02-08,2024-02-10,North,North,Fragile,Express,442,Delivered,2,On Time
SHP01976,CUST0002,2024-02-08,2024-02-11,South,West,Fragile,Express,585,Delivered,3,On Time
SHP00467,CUST0390,2024-02-08,2024-02-12,East,South,Parcel,Standard,121,Delivered,4,Not On Time
SHP01191,CUST0054,2024-02-09,2024-02-12,West,East,Parcel,Express,540,Delivered,3,On Time
SHP01211,CUST0106,2024-02-09,2024-02-15,East,West,Electronics,Express,300,Delivered,6,Not On Time
SHP00513,CUST0260,2024-02-10,2024-02-14,North,Central,Fragile,Standard,417,Delayed,4,Not On Time
SHP01000,CUST0310,2024-02-10,2024-02-13,South,South,Parcel,Express,580,Delayed,3,Not On Time
SHP00087,CUST0477,2024-02-10,2024-02-12,East,East,Fragile,Same Day,799,Failed,2,Not On Time
SHP00999,CUST0191,2024-02-11,2024-02-12,South,South,Document,Express,330,Delivered,1,On Time
SHP01769,CUST0402,2024-02-11,2024-02-14,North,West,Electronics,Same Day,407,Delayed,3,Not On Time
SHP01051,CUST0218,2024-02-11,2024-02-16,North,South,Parcel,Standard,165,Delivered,5,Not On Time
SHP00617,CUST0044,2024-02-12,2024-02-16,West,Central,Parcel,Same Day,698,Delivered,4,Not On Time
SHP01917,CUST0162,2024-02-12,2024-02-13,Central,West,Electronics,Standard,317,Delayed,1,Not On Time
SHP01594,CUST0202,2024-02-12,2024-02-15,North,Central,Parcel,Express,276,Delivered,3,On Time
SHP01811,CUST0446,2024-02-12,2024-02-15,South,West,Fragile,Standard,480,Delivered,3,On Time
SHP00494,CUST0484,2024-02-16,2024-02-17,South,East,Parcel,Standard,249,Delayed,1,Not On Time
SHP00645,CUST0270,2024-02-16,2024-02-18,West,South,Parcel,Standard,485,Delayed,2,Not On Time
SHP00821,CUST0351,2024-02-16,2024-02-22,West,West,Parcel,Express,235,Cancelled,6,Not On Time
SHP01075,CUST0304,2024-02-16,2024-02-19,Central,South,Electronics,Standard,191,Delayed,3,Not On Time
SHP00313,CUST0271,2024-02-16,2024-02-20,West,North,Fragile,Standard,163,Delivered,4,Not On Time
SHP00652,CUST0456,2024-02-17,2024-02-20,West,North,Parcel,Standard,189,Delivered,3,On Time
SHP01654,CUST0462,2024-02-19,2024-02-20,East,East,Parcel,Express,566,Delivered,1,On Time
SHP01610,CUST0215,2024-02-20,2024-02-25,West,Central,Parcel,Express,319,Delivered,5,Not On Time
SHP00855,CUST0252,2024-02-20,2024-02-22,Central,East,Parcel,Express,314,Delivered,2,On Time
SHP00560,CUST0190,2024-02-20,2024-02-23,South,South,Fragile,Express,388,Delivered,3,On Time
SHP00292,CUST0296,2024-02-20,2024-02-23,Central,North,Document,Express,672,Delivered,3,On Time
SHP00614,CUST0213,2024-02-22,2024-02-28,Central,West,Parcel,Standard,243,Delivered,6,Not On Time
SHP00200,CUST0208,2024-02-23,2024-02-27,Central,West,Parcel,Standard,265,Delivered,4,Not On Time
SHP01168,CUST0237,2024-02-23,2024-02-24,Central,South,Electronics,Express,487,Delivered,1,On Time
SHP01033,CUST0338,2024-02-24,2024-02-27,North,West,Parcel,Express,564,Delayed,3,Not On Time
SHP00927,CUST0367,2024-02-24,2024-02-26,South,South,Electronics,Standard,483,Delivered,2,On Time
SHP01727,CUST0053,2024-02-24,2024-03-02,East,West,Parcel,Express,144,Delayed,7,Not On Time
SHP00932,CUST0280,2024-02-24,2024-02-26,North,Central,Parcel,Express,241,Delivered,2,On Time
SHP00661,CUST0410,2024-02-25,2024-03-03,East,South,Electronics,Express,353,Delivered,7,Not On Time
SHP01710,CUST0217,2024-02-27,2024-03-01,East,Central,Parcel,Express,603,Delivered,3,On Time
SHP00485,CUST0252,2024-02-27,2024-03-01,West,North,Electronics,Standard,185,Delivered,3,On Time
SHP00981,CUST0188,2024-02-28,2024-03-04,East,East,Parcel,Standard,319,Delayed,5,Not On Time
SHP01151,CUST0380,2024-03-01,2024-03-02,West,North,Electronics,Express,361,Delivered,1,On Time
SHP01049,CUST0493,2024-03-01,2024-03-04,South,North,Electronics,Express,672,Delivered,3,On Time
SHP00629,CUST0041,2024-03-01,2024-03-04,Central,West,Parcel,Standard,283,Cancelled,3,Not On Time
SHP01176,CUST0157,2024-03-02,2024-03-05,South,East,Parcel,Standard,295,Cancelled,3,Not On Time
SHP00414,CUST0015,2024-03-02,2024-03-08,East,East,Parcel,Standard,130,Delivered,6,Not On Time
SHP00890,CUST0301,2024-03-03,2024-03-07,East,West,Fragile,Express,507,Delivered,4,Not On Time
SHP00540,CUST0065,2024-03-03,2024-03-04,North,East,Parcel,Standard,412,Delivered,1,On Time
SHP01858,CUST0345,2024-03-05,2024-03-07,East,West,Document,Same Day,405,Delivered,2,On Time
SHP00076,CUST0327,2024-03-05,2024-03-08,West,South,Parcel,Standard,170,Failed,3,Not On Time
SHP01474,CUST0009,2024-03-06,2024-03-08,West,Central,Electronics,Express,281,Delivered,2,On Time
SHP00690,CUST0344,2024-03-07,2024-03-12,North,West,Fragile,Standard,239,Delivered,5,Not On Time
SHP01707,CUST0129,2024-03-07,2024-03-10,West,South,Fragile,Express,546,Delayed,3,Not On Time
SHP00829,CUST0492,2024-03-09,2024-03-11,North,Central,Parcel,Standard,481,Delivered,2,On Time
SHP00612,CUST0136,2024-03-09,2024-03-10,South,West,Electronics,Standard,361,Delivered,1,On Time
SHP01038,CUST0472,2024-03-09,2024-03-11,West,Central,Fragile,Standard,486,Delivered,2,On Time
SHP01343,CUST0063,2024-03-12,2024-03-16,Central,Central,Document,Express,370,Delivered,4,Not On Time
SHP01776,CUST0139,2024-03-13,2024-03-16,North,South,Parcel,Standard,499,Delayed,3,Not On Time
SHP01045,CUST0499,2024-03-13,2024-03-17,North,Central,Parcel,Express,658,Delivered,4,Not On Time
SHP01693,CUST0081,2024-03-13,2024-03-15,West,East,Document,Standard,129,Delivered,2,On Time
SHP00587,CUST0392,2024-03-15,2024-03-17,East,East,Parcel,Standard,472,Delivered,2,On Time
SHP00722,CUST0163,2024-03-15,2024-03-17,West,West,Fragile,Express,202,Failed,2,Not On Time
SHP00875,CUST0419,2024-03-15,2024-03-20,East,East,Document,Express,326,Delivered,5,Not On Time
SHP00996,CUST0289,2024-03-15,2024-03-18,West,South,Parcel,Standard,172,Delivered,3,On Time
SHP00423,CUST0379,2024-03-16,2024-03-19,Central,North,Fragile,Express,627,Delayed,3,Not On Time
SHP00666,CUST0261,2024-03-18,2024-03-21,South,Central,Document,Standard,362,Delivered,3,On Time
SHP00775,CUST0490,2024-03-18,2024-03-19,West,East,Fragile,Standard,492,Delivered,1,On Time
SHP01285,CUST0231,2024-03-19,2024-03-22,West,North,Document,Standard,366,Delivered,3,On Time
SHP01905,CUST0041,2024-03-19,2024-03-22,Central,North,Parcel,Standard,256,Delivered,3,On Time
SHP00490,CUST0028,2024-03-20,2024-03-25,East,East,Document,Standard,391,Delayed,5,Not On Time
SHP00604,CUST0135,2024-03-21,2024-03-23,North,Central,Document,Standard,382,Delivered,2,On Time
SHP01235,CUST0201,2024-03-22,2024-03-27,East,Central,Electronics,Standard,182,Delivered,5,Not On Time
SHP00962,CUST0328,2024-03-22,2024-03-23,South,Central,Parcel,Standard,368,Cancelled,1,Not On Time
SHP01826,CUST0268,2024-03-23,2024-03-25,North,East,Electronics,Express,505,Delayed,2,Not On Time
SHP00557,CUST0418,2024-03-23,2024-03-25,South,Central,Parcel,Standard,480,Delivered,2,On Time
SHP01305,CUST0033,2024-03-24,2024-03-28,West,North,Parcel,Same Day,803,Delivered,4,Not On Time
SHP01584,CUST0048,2024-03-25,2024-03-26,East,West,Document,Standard,271,Delivered,1,On Time
SHP00684,CUST0407,2024-03-26,2024-03-30,South,South,Document,Standard,286,Delivered,4,Not On Time
SHP01535,CUST0062,2024-03-26,2024-03-31,Central,East,Parcel,Standard,239,Delivered,5,Not On Time
SHP01404,CUST0216,2024-03-27,2024-03-31,North,Central,Parcel,Standard,352,Delivered,4,Not On Time
SHP01912,CUST0293,2024-03-27,2024-04-02,North,East,Parcel,Express,608,Delivered,6,Not On Time
SHP01916,CUST0099,2024-03-27,2024-03-28,West,East,Fragile,Standard,176,Delivered,1,On Time
SHP00931,CUST0172,2024-03-27,2024-03-31,South,Central,Parcel,Standard,211,Delivered,4,Not On Time
SHP00007,CUST0360,2024-03-28,2024-04-01,South,West,Fragile,Express,641,Cancelled,4,Not On Time
SHP00780,CUST0214,2024-03-29,2024-03-30,North,Central,Electronics,Standard,139,Delivered,1,On Time
SHP01372,CUST0475,2024-03-30,2024-04-04,West,North,Parcel,Express,192,Delivered,5,Not On Time
SHP00744,CUST0035,2024-03-30,2024-03-31,North,East,Parcel,Standard,482,Delivered,1,On Time
SHP00387,CUST0449,2024-03-30,2024-04-03,North,East,Fragile,Standard,489,Delivered,4,Not On Time
SHP00508,CUST0227,2024-03-30,2024-04-02,South,North,Electronics,Express,137,Delivered,3,On Time
SHP01627,CUST0101,2024-03-30,2024-04-06,South,South,Parcel,Standard,148,Cancelled,7,Not On Time
SHP00465,CUST0431,2024-03-31,2024-04-04,South,North,Electronics,Standard,447,Delivered,4,Not On Time
SHP01804,CUST0462,2024-04-01,2024-04-07,South,South,Fragile,Standard,316,Delivered,6,Not On Time
SHP01214,CUST0131,2024-04-01,2024-04-04,East,West,Parcel,Same Day,463,Delivered,3,On Time
SHP01846,CUST0257,2024-04-01,2024-04-03,Central,North,Fragile,Standard,433,Delayed,2,Not On Time
SHP01359,CUST0005,2024-04-01,2024-04-04,West,North,Parcel,Standard,397,Delivered,3,On Time
SHP00044,CUST0218,2024-04-01,2024-04-03,North,West,Parcel,Express,158,Delivered,2,On Time
SHP01423,CUST0255,2024-04-02,2024-04-04,Central,South,Parcel,Express,673,Delivered,2,On Time
SHP00627,CUST0398,2024-04-02,2024-04-06,Central,West,Document,Same Day,457,Delivered,4,Not On Time
SHP00347,CUST0359,2024-04-03,2024-04-06,Central,East,Parcel,Same Day,846,Delayed,3,Not On Time
SHP01787,CUST0283,2024-04-04,2024-04-07,North,West,Electronics,Express,196,Delivered,3,On Time
SHP00825,CUST0393,2024-04-04,2024-04-05,Central,South,Parcel,Standard,374,Delivered,1,On Time
SHP00621,CUST0207,2024-04-04,2024-04-07,South,South,Parcel,Express,459,Delivered,3,On Time
SHP00567,CUST0015,2024-04-04,2024-04-11,South,East,Parcel,Express,136,Delivered,7,Not On Time
SHP00118,CUST0346,2024-04-05,2024-04-11,East,West,Parcel,Standard,217,Failed,6,Not On Time
SHP00407,CUST0042,2024-04-05,2024-04-12,South,Central,Parcel,Standard,476,Delayed,7,Not On Time
SHP00944,CUST0380,2024-04-05,2024-04-12,North,Central,Parcel,Standard,270,Delivered,7,Not On Time
SHP01032,CUST0461,2024-04-07,2024-04-10,East,North,Document,Standard,188,Cancelled,3,Not On Time
SHP00593,CUST0179,2024-04-07,2024-04-09,Central,East,Fragile,Express,662,Delivered,2,On Time
SHP00247,CUST0063,2024-04-08,2024-04-12,Central,East,Document,Standard,405,Delivered,4,Not On Time
SHP00206,CUST0352,2024-04-08,2024-04-10,South,Central,Fragile,Same Day,356,Delivered,2,On Time
SHP00098,CUST0231,2024-04-08,2024-04-15,South,North,Parcel,Standard,181,Delivered,7,Not On Time
SHP01453,CUST0241,2024-04-09,2024-04-12,South,South,Document,Standard,205,Delivered,3,On Time
SHP01913,CUST0052,2024-04-10,2024-04-11,North,North,Fragile,Standard,283,Delivered,1,On Time
SHP01835,CUST0096,2024-04-10,2024-04-13,East,North,Parcel,Standard,366,Failed,3,Not On Time
SHP01576,CUST0388,2024-04-11,2024-04-16,South,South,Parcel,Express,644,Delivered,5,Not On Time
SHP01351,CUST0222,2024-04-11,2024-04-13,West,North,Parcel,Express,409,Delivered,2,On Time
SHP01057,CUST0485,2024-04-11,2024-04-14,East,South,Parcel,Standard,88,Delivered,3,On Time
SHP00589,CUST0407,2024-04-12,2024-04-14,West,West,Parcel,Standard,480,Delivered,2,On Time
SHP00795,CUST0231,2024-04-13,2024-04-14,West,North,Fragile,Express,248,Delivered,1,On Time
SHP00203,CUST0237,2024-04-13,2024-04-14,West,East,Document,Standard,185,Delivered,1,On Time
SHP00544,CUST0143,2024-04-14,2024-04-21,South,South,Fragile,Standard,309,Delivered,7,Not On Time
SHP01886,CUST0171,2024-04-14,2024-04-18,North,East,Parcel,Express,542,Delivered,4,Not On Time
SHP01376,CUST0029,2024-04-15,2024-04-17,Central,West,Document,Same Day,511,Delivered,2,On Time
SHP01622,CUST0036,2024-04-15,2024-04-18,West,West,Parcel,Standard,295,Delivered,3,On Time
SHP00650,CUST0013,2024-04-16,2024-04-21,West,North,Electronics,Standard,484,Delivered,5,Not On Time
SHP01055,CUST0160,2024-04-17,2024-04-19,East,West,Document,Standard,235,Delivered,2,On Time
SHP00692,CUST0327,2024-04-18,2024-04-21,Central,Central,Document,Express,318,Delivered,3,On Time
SHP00438,CUST0187,2024-04-18,2024-04-23,North,Central,Fragile,Standard,191,Delivered,5,Not On Time
SHP00693,CUST0243,2024-04-20,2024-04-21,West,South,Parcel,Same Day,778,Delivered,1,On Time
SHP00695,CUST0086,2024-04-20,2024-04-24,West,South,Parcel,Express,451,Delivered,4,Not On Time
SHP01386,CUST0284,2024-04-20,2024-04-27,East,South,Electronics,Standard,388,Delivered,7,Not On Time
SHP00618,CUST0066,2024-04-20,2024-04-23,East,South,Document,Standard,341,Delivered,3,On Time
SHP00740,CUST0170,2024-04-22,2024-04-25,North,East,Fragile,Express,351,Delivered,3,On Time
SHP00145,CUST0045,2024-04-22,2024-04-24,East,North,Document,Express,211,Delivered,2,On Time
SHP01973,CUST0062,2024-04-22,2024-04-24,Central,East,Parcel,Standard,261,Delivered,2,On Time
SHP01751,CUST0441,2024-04-23,2024-04-24,South,West,Parcel,Standard,399,Cancelled,1,Not On Time
SHP01538,CUST0134,2024-04-23,2024-04-26,West,Central,Fragile,Same Day,860,Delivered,3,On Time
SHP00923,CUST0284,2024-04-23,2024-04-25,South,East,Parcel,Standard,365,Delivered,2,On Time
SHP01208,CUST0028,2024-04-24,2024-04-27,Central,Central,Electronics,Standard,375,Delayed,3,Not On Time
SHP00393,CUST0108,2024-04-24,2024-04-26,West,East,Parcel,Same Day,365,Delivered,2,On Time
SHP01716,CUST0044,2024-04-25,2024-04-29,East,West,Electronics,Standard,385,Delivered,4,Not On Time
SHP01368,CUST0340,2024-04-25,2024-04-28,North,Central,Parcel,Standard,439,Delivered,3,On Time
SHP00870,CUST0286,2024-04-26,2024-04-30,North,South,Parcel,Standard,281,Delivered,4,Not On Time
SHP01337,CUST0446,2024-04-26,2024-04-29,East,Central,Parcel,Standard,150,Delivered,3,On Time
SHP00326,CUST0331,2024-04-26,2024-04-28,West,South,Electronics,Standard,307,Delivered,2,On Time
SHP00725,CUST0128,2024-04-27,2024-05-03,East,South,Fragile,Express,329,Delivered,6,Not On Time
SHP00573,CUST0348,2024-04-27,2024-04-29,West,East,Electronics,Express,134,Delivered,2,On Time
SHP01505,CUST0473,2024-04-28,2024-05-03,Central,Central,Document,Standard,150,Delivered,5,Not On Time
SHP01948,CUST0231,2024-04-28,2024-05-02,West,North,Document,Same Day,571,Delivered,4,Not On Time
SHP00322,CUST0190,2024-04-29,2024-05-04,East,North,Parcel,Standard,247,Delivered,5,Not On Time
SHP01373,CUST0225,2024-05-01,2024-05-05,South,West,Document,Express,552,Delayed,4,Not On Time
SHP00004,CUST0385,2024-05-01,2024-05-03,Central,North,Electronics,Express,354,Delivered,2,On Time
SHP01406,CUST0377,2024-05-01,2024-05-06,East,East,Parcel,Standard,291,Delivered,5,Not On Time
SHP01975,CUST0283,2024-05-01,2024-05-05,South,South,Parcel,Express,302,Delivered,4,Not On Time
SHP00156,CUST0446,2024-05-02,2024-05-05,West,Central,Parcel,Express,263,Delivered,3,On Time
SHP01968,CUST0121,2024-05-03,2024-05-07,East,West,Document,Standard,362,Delivered,4,Not On Time
SHP01839,CUST0116,2024-05-03,2024-05-05,West,Central,Document,Standard,137,Delayed,2,Not On Time
SHP01518,CUST0461,2024-05-05,2024-05-08,West,East,Document,Express,391,Delivered,3,On Time
SHP00685,CUST0233,2024-05-05,2024-05-06,North,East,Parcel,Standard,97,Delivered,1,On Time
SHP00616,CUST0259,2024-05-05,2024-05-06,West,East,Electronics,Express,470,Delivered,1,On Time
SHP00851,CUST0359,2024-05-06,2024-05-11,Central,South,Document,Standard,125,Delivered,5,Not On Time
SHP01803,CUST0198,2024-05-07,2024-05-11,North,West,Electronics,Standard,500,Delivered,4,Not On Time
SHP00998,CUST0456,2024-05-07,2024-05-12,Central,North,Document,Standard,218,Delayed,5,Not On Time
SHP00260,CUST0411,2024-05-07,2024-05-11,East,Central,Fragile,Standard,323,Cancelled,4,Not On Time
SHP00982,CUST0137,2024-05-07,2024-05-13,South,North,Document,Standard,411,Delivered,6,Not On Time
SHP01891,CUST0318,2024-05-08,2024-05-10,North,North,Document,Express,638,Delivered,2,On Time
SHP01531,CUST0165,2024-05-08,2024-05-15,North,South,Fragile,Standard,232,Failed,7,Not On Time
SHP01470,CUST0225,2024-05-09,2024-05-13,North,South,Parcel,Express,508,Delivered,4,Not On Time
SHP00824,CUST0307,2024-05-09,2024-05-14,North,North,Fragile,Express,633,Delivered,5,Not On Time
SHP01780,CUST0234,2024-05-09,2024-05-15,North,East,Document,Standard,96,Delivered,6,Not On Time
SHP01020,CUST0172,2024-05-09,2024-05-10,West,North,Parcel,Express,357,Delivered,1,On Time
SHP01054,CUST0152,2024-05-10,2024-05-11,North,Central,Document,Standard,265,Delivered,1,On Time
SHP00009,CUST0463,2024-05-10,2024-05-11,Central,Central,Parcel,Express,679,Cancelled,1,Not On Time
SHP01100,CUST0315,2024-05-10,2024-05-12,South,North,Electronics,Standard,304,Delivered,2,On Time
SHP00777,CUST0374,2024-05-11,2024-05-13,West,North,Document,Same Day,895,Delayed,2,Not On Time
SHP01486,CUST0160,2024-05-12,2024-05-15,South,Central,Electronics,Standard,399,Delivered,3,On Time
SHP01226,CUST0096,2024-05-12,2024-05-14,South,Central,Fragile,Express,407,Delivered,2,On Time
SHP00605,CUST0472,2024-05-12,2024-05-15,South,Central,Document,Standard,416,Delivered,3,On Time
SHP01772,CUST0233,2024-05-13,2024-05-16,Central,West,Fragile,Standard,459,Delivered,3,On Time
