Shipment_ID,Order_Date,Delivery_Date,Customer_Type,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Status
SHP01429,2024-01-24,2024-01-27,Individual,South,North,Document,Standard,295,Delivered
SHP00886,2024-01-25,2024-01-29,Business,North,Central,Electronics,Express,441,Delivered
SHP01052,2024-01-25,2024-01-27,Individual,East,East,Parcel,Express,175,Failed
SHP00689,2024-01-25,2024-01-26,Individual,South,North,Parcel,Express,305,Delayed
SHP00230,2024-01-27,2024-01-29,Individual,North,Central,Electronics,Standard,460,Delivered
SHP01007,2024-01-27,2024-01-30,Individual,Central,Central,Document,Express,195,Cancelled
SHP00665,2024-01-28,2024-01-30,Individual,West,Central,Parcel,Standard,212,Delivered
SHP01473,2024-01-28,2024-02-01,Individual,East,Central,Parcel,Express,130,Delivered
SHP00681,2024-01-28,2024-01-31,Individual,South,West,Document,Express,150,Delivered
SHP00993,2024-01-29,2024-02-01,Business,West,East,Electronics,Standard,281,Delivered
SHP01123,2024-01-29,2024-02-04,Business,West,North,Electronics,Standard,437,Delivered
SHP00456,2024-01-29,2024-02-04,Individual,West,Central,Electronics,Standard,397,Cancelled
SHP01281,2024-01-29,2024-02-03,Business,North,Central,Fragile,Express,227,Delivered
SHP01893,2024-01-29,2024-01-30,Business,Central,Central,Document,Standard,217,Delivered
SHP01025,2024-01-29,2024-02-01,Individual,North,West,Electronics,Standard,393,Delivered
SHP00910,2024-02-01,2024-02-06,Individual,South,West,Parcel,Standard,81,Delivered
SHP00696,2024-02-03,2024-02-05,Individual,Central,North,Document,Express,160,Delivered
SHP01002,2024-02-03,2024-02-08,Individual,North,Central,Parcel,Express,536,Delivered
SHP00566,2024-02-03,2024-02-04,Individual,North,North,Parcel,Express,517,Delivered
SHP01421,2024-02-04,2024-02-05,Individual,West,West,Parcel,Standard,191,Delivered
SHP00048,2024-02-04,2024-02-05,Business,North,Central,Electronics,Standard,173,Delayed
SHP00384,2024-02-04,2024-02-05,Individual,South,South,Parcel,Standard,382,Delivered
SHP00280,2024-02-05,2024-02-10,Individual,South,Central,Electronics,Express,168,Delayed
SHP01690,2024-02-05,2024-02-12,Individual,West,Central,Document,Express,594,Delivered
SHP01637,2024-02-05,2024-02-08,Business,North,North,Parcel,Express,501,Delivered
SHP00409,2024-02-06,2024-02-09,Individual,North,South,Parcel,Express,221,Delivered
SHP01199,2024-02-06,2024-02-09,Individual,South,Central,Document,Express,427,Delivered
SHP01255,2024-02-06,2024-02-08,Individual,East,Central,Fragile,Standard,331,Cancelled
SHP01195,2024-02-07,2024-02-10,Business,South,North,Parcel,Same Day,367,Delivered
SHP00226,2024-02-07,2024-02-11,Individual,Central,Central,Fragile,Express,213,Delivered
SHP01107,2024-02-08,2024-02-09,Individual,North,North,Document,Standard,334,Delivered
SHP01292,2024-02-08,2024-02-10,Business,North,North,Fragile,Express,442,Delivered
SHP01976,2024-02-08,2024-02-11,Individual,South,West,Fragile,Express,585,Delivered
SHP00467,2024-02-08,2024-02-12,Individual,East,South,Parcel,Standard,121,Delivered
SHP01191,2024-02-09,2024-02-12,Business,West,East,Parcel,Express,540,Delivered
SHP01211,2024-02-09,2024-02-15,Business,East,West,Electronics,Express,300,Delivered
SHP00513,2024-02-10,2024-02-14,Individual,North,Central,Fragile,Standard,417,Delayed
SHP01000,2024-02-10,2024-02-13,Individual,South,South,Parcel,Express,580,Delayed
SHP00087,2024-02-10,2024-02-12,Individual,East,East,Fragile,Same Day,799,Failed
SHP00999,2024-02-11,2024-02-12,Business,South,South,Document,Express,330,Delivered
SHP01769,2024-02-11,2024-02-14,Individual,North,West,Electronics,Same Day,407,Delayed
SHP01051,2024-02-11,2024-02-16,Individual,North,South,Parcel,Standard,165,Delivered
SHP00617,2024-02-12,2024-02-16,Individual,West,Central,Parcel,Same Day,698,Delivered
SHP01917,2024-02-12,2024-02-13,Individual,Central,West,Electronics,Standard,317,Delayed
SHP01594,2024-02-12,2024-02-15,Individual,North,Central,Parcel,Express,276,Delivered
SHP01811,2024-02-12,2024-02-15,Individual,South,West,Fragile,Standard,480,Delivered
SHP00494,2024-02-16,2024-02-17,Business,South,East,Parcel,Standard,249,Delayed
SHP00645,2024-02-16,2024-02-18,Individual,West,South,Parcel,Standard,485,Delayed
SHP00821,2024-02-16,2024-02-22,Individual,West,West,Parcel,Express,235,Cancelled
SHP01075,2024-02-16,2024-02-19,Business,Central,South,Electronics,Standard,191,Delayed
SHP00313,2024-02-16,2024-02-20,Individual,West,North,Fragile,Standard,163,Delivered
SHP00652,2024-02-17,2024-02-20,Individual,West,North,Parcel,Standard,189,Delivered
SHP01654,2024-02-19,2024-02-20,Business,East,East,Parcel,Express,566,Delivered
SHP01610,2024-02-20,2024-02-25,Individual,West,Central,Parcel,Express,319,Delivered
SHP00855,2024-02-20,2024-02-22,Individual,Central,East,Parcel,Express,314,Delivered
SHP00560,2024-02-20,2024-02-23,Individual,South,South,Fragile,Express,388,Delivered
SHP00292,2024-02-20,2024-02-23,Business,Central,North,Document,Express,672,Delivered
SHP00614,2024-02-22,2024-02-28,Individual,Central,West,Parcel,Standard,243,Delivered
SHP00200,2024-02-23,2024-02-27,Individual,Central,West,Parcel,Standard,265,Delivered
SHP01168,2024-02-23,2024-02-24,Individual,Central,South,Electronics,Express,487,Delivered
SHP01033,2024-02-24,2024-02-27,Business,North,West,Parcel,Express,564,Delayed
SHP00927,2024-02-24,2024-02-26,Business,South,South,Electronics,Standard,483,Delivered
SHP01727,2024-02-24,2024-03-02,Business,East,West,Parcel,Express,144,Delayed
SHP00932,2024-02-24,2024-02-26,Individual,North,Central,Parcel,Express,241,Delivered
SHP00661,2024-02-25,2024-03-03,Individual,East,South,Electronics,Express,353,Delivered
SHP01710,2024-02-27,2024-03-01,Individual,East,Central,Parcel,Express,603,Delivered
SHP00485,2024-02-27,2024-03-01,Individual,West,North,Electronics,Standard,185,Delivered
SHP00981,2024-02-28,2024-03-04,Individual,East,East,Parcel,Standard,319,Delayed
SHP01151,2024-03-01,2024-03-02,Business,West,North,Electronics,Express,361,Delivered
SHP01049,2024-03-01,2024-03-04,Individual,South,North,Electronics,Express,672,Delivered
SHP00629,2024-03-01,2024-03-04,Business,Central,West,Parcel,Standard,283,Cancelled
SHP01176,2024-03-02,2024-03-05,Individual,South,East,Parcel,Standard,295,Cancelled
SHP00414,2024-03-02,2024-03-08,Individual,East,East,Parcel,Standard,130,Delivered
SHP00890,2024-03-03,2024-03-07,Business,East,West,Fragile,Express,507,Delivered
SHP00540,2024-03-03,2024-03-04,Individual,North,East,Parcel,Standard,412,Delivered
SHP01858,2024-03-05,2024-03-07,Individual,East,West,Document,Same Day,405,Delivered
SHP00076,2024-03-05,2024-03-08,Individual,West,South,Parcel,Standard,170,Failed
SHP01474,2024-03-06,2024-03-08,Individual,West,Central,Electronics,Express,281,Delivered
SHP00690,2024-03-07,2024-03-12,Business,North,West,Fragile,Standard,239,Delivered
SHP01707,2024-03-07,2024-03-10,Individual,West,South,Fragile,Express,546,Delayed
SHP00829,2024-03-09,2024-03-11,Individual,North,Central,Parcel,Standard,481,Delivered
SHP00612,2024-03-09,2024-03-10,Individual,South,West,Electronics,Standard,361,Delivered
SHP01038,2024-03-09,2024-03-11,Business,West,Central,Fragile,Standard,486,Delivered
SHP01343,2024-03-12,2024-03-16,Individual,Central,Central,Document,Express,370,Delivered
SHP01776,2024-03-13,2024-03-16,Business,North,South,Parcel,Standard,499,Delayed
SHP01045,2024-03-13,2024-03-17,Individual,North,Central,Parcel,Express,658,Delivered
SHP01693,2024-03-13,2024-03-15,Business,West,East,Document,Standard,129,Delivered
SHP00587,2024-03-15,2024-03-17,Business,East,East,Parcel,Standard,472,Delivered
SHP00722,2024-03-15,2024-03-17,Business,West,West,Fragile,Express,202,Failed
SHP00875,2024-03-15,2024-03-20,Individual,East,East,Document,Express,326,Delivered
SHP00996,2024-03-15,2024-03-18,Business,West,South,Parcel,Standard,172,Delivered
SHP00423,2024-03-16,2024-03-19,Individual,Central,North,Fragile,Express,627,Delayed
SHP00666,2024-03-18,2024-03-21,Individual,South,Central,Document,Standard,362,Delivered
SHP00775,2024-03-18,2024-03-19,Individual,West,East,Fragile,Standard,492,Delivered
SHP01285,2024-03-19,2024-03-22,Individual,West,North,Document,Standard,366,Delivered
SHP01905,2024-03-19,2024-03-22,Business,Central,North,Parcel,Standard,256,Delivered
SHP00490,2024-03-20,2024-03-25,Business,East,East,Document,Standard,391,Delayed
SHP00604,2024-03-21,2024-03-23,Individual,North,Central,Document,Standard,382,Delivered
SHP01235,2024-03-22,2024-03-27,Individual,East,Central,Electronics,Standard,182,Delivered
SHP00962,2024-03-22,2024-03-23,Individual,South,Central,Parcel,Standard,368,Cancelled
SHP01826,2024-03-23,2024-03-25,Business,North,East,Electronics,Express,505,Delayed
SHP00557,2024-03-23,2024-03-25,Individual,South,Central,Parcel,Standard,480,Delivered
SHP01305,2024-03-24,2024-03-28,Individual,West,North,Parcel,Same Day,803,Delivered
SHP01584,2024-03-25,2024-03-26,Business,East,West,Document,Standard,271,Delivered
SHP00684,2024-03-26,2024-03-30,Business,South,South,Document,Standard,286,Delivered
SHP01535,2024-03-26,2024-03-31,Business,Central,East,Parcel,Standard,239,Delivered
SHP01404,2024-03-27,2024-03-31,Business,North,Central,Parcel,Standard,352,Delivered
SHP01912,2024-03-27,2024-04-02,Business,North,East,Parcel,Express,608,Delivered
SHP01916,2024-03-27,2024-03-28,Business,West,East,Fragile,Standard,176,Delivered
SHP00931,2024-03-27,2024-03-31,Individual,South,Central,Parcel,Standard,211,Delivered
SHP00007,2024-03-28,2024-04-01,Individual,South,West,Fragile,Express,641,Cancelled
SHP00780,2024-03-29,2024-03-30,Individual,North,Central,Electronics,Standard,139,Delivered
SHP01372,2024-03-30,2024-04-04,Individual,West,North,Parcel,Express,192,Delivered
SHP00744,2024-03-30,2024-03-31,Business,North,East,Parcel,Standard,482,Delivered
SHP00387,2024-03-30,2024-04-03,Individual,North,East,Fragile,Standard,489,Delivered
SHP00508,2024-03-30,2024-04-02,Individual,South,North,Electronics,Express,137,Delivered
SHP01627,2024-03-30,2024-04-06,Business,South,South,Parcel,Standard,148,Cancelled
SHP00465,2024-03-31,2024-04-04,Individual,South,North,Electronics,Standard,447,Delivered
SHP01804,2024-04-01,2024-04-07,Individual,South,South,Fragile,Standard,316,Delivered
SHP01214,2024-04-01,2024-04-04,Individual,East,West,Parcel,Same Day,463,Delivered
SHP01846,2024-04-01,2024-04-03,Individual,Central,North,Fragile,Standard,433,Delayed
SHP01359,2024-04-01,2024-04-04,Individual,West,North,Parcel,Standard,397,Delivered
SHP00044,2024-04-01,2024-04-03,Business,North,West,Parcel,Express,158,Delivered
SHP01423,2024-04-02,2024-04-04,Individual,Central,South,Parcel,Express,673,Delivered
SHP00627,2024-04-02,2024-04-06,Individual,Central,West,Document,Same Day,457,Delivered
SHP00347,2024-04-03,2024-04-06,Individual,Central,East,Parcel,Same Day,846,Delayed
SHP01787,2024-04-04,2024-04-07,Business,North,West,Electronics,Express,196,Delivered
SHP00825,2024-04-04,2024-04-05,Individual,Central,South,Parcel,Standard,374,Delivered
SHP00621,2024-04-04,2024-04-07,Individual,South,South,Parcel,Express,459,Delivered
SHP00567,2024-04-04,2024-04-11,Individual,South,East,Parcel,Express,136,Delivered
SHP00118,2024-04-05,2024-04-11,Individual,East,West,Parcel,Standard,217,Failed
SHP00407,2024-04-05,2024-04-12,Business,South,Central,Parcel,Standard,476,Delayed
SHP00944,2024-04-05,2024-04-12,Individual,North,Central,Parcel,Standard,270,Delivered
SHP01032,2024-04-07,2024-04-10,Individual,East,North,Document,Standard,188,Cancelled
SHP00593,2024-04-07,2024-04-09,Individual,Central,East,Fragile,Express,662,Delivered
SHP00247,2024-04-08,2024-04-12,Business,Central,East,Document,Standard,405,Delivered
SHP00206,2024-04-08,2024-04-10,Individual,South,Central,Fragile,Same Day,356,Delivered
SHP00098,2024-04-08,2024-04-15,Business,South,North,Parcel,Standard,181,Delivered
SHP01453,2024-04-09,2024-04-12,Business,South,South,Document,Standard,205,Delivered
SHP01913,2024-04-10,2024-04-11,Individual,North,North,Fragile,Standard,283,Delivered
SHP01835,2024-04-10,2024-04-13,Individual,East,North,Parcel,Standard,366,Failed
SHP01576,2024-04-11,2024-04-16,Individual,South,South,Parcel,Express,644,Delivered
SHP01351,2024-04-11,2024-04-13,Individual,West,North,Parcel,Express,409,Delivered
SHP01057,2024-04-11,2024-04-14,Individual,East,South,Parcel,Standard,88,Delivered
SHP00589,2024-04-12,2024-04-14,Individual,West,West,Parcel,Standard,480,Delivered
SHP00795,2024-04-13,2024-04-14,Business,West,North,Fragile,Express,248,Delivered
SHP00203,2024-04-13,2024-04-14,Business,West,East,Document,Standard,185,Delivered
SHP00544,2024-04-14,2024-04-21,Individual,South,South,Fragile,Standard,309,Delivered
SHP01886,2024-04-14,2024-04-18,Individual,North,East,Parcel,Express,542,Delivered
SHP01376,2024-04-15,2024-04-17,Individual,Central,West,Document,Same Day,511,Delivered
SHP01622,2024-04-15,2024-04-18,Individual,West,West,Parcel,Standard,295,Delivered
SHP00650,2024-04-16,2024-04-21,Individual,West,North,Electronics,Standard,484,Delivered
SHP01055,2024-04-17,2024-04-19,Individual,East,West,Document,Standard,235,Delivered
SHP00692,2024-04-18,2024-04-21,Individual,Central,Central,Document,Express,318,Delivered
SHP00438,2024-04-18,2024-04-23,Business,North,Central,Fragile,Standard,191,Delivered
SHP00693,2024-04-20,2024-04-21,Individual,West,South,Parcel,Same Day,778,Delivered
SHP00695,2024-04-20,2024-04-24,Individual,West,South,Parcel,Express,451,Delivered
SHP01386,2024-04-20,2024-04-27,Individual,East,South,Electronics,Standard,388,Delivered
SHP00618,2024-04-20,2024-04-23,Individual,East,South,Document,Standard,341,Delivered
SHP00740,2024-04-22,2024-04-25,Individual,North,East,Fragile,Express,351,Delivered
SHP00145,2024-04-22,2024-04-24,Business,East,North,Document,Express,211,Delivered
SHP01973,2024-04-22,2024-04-24,Individual,Central,East,Parcel,Standard,261,Delivered
SHP01751,2024-04-23,2024-04-24,Individual,South,West,Parcel,Standard,399,Cancelled
SHP01538,2024-04-23,2024-04-26,Business,West,Central,Fragile,Same Day,860,Delivered
SHP00923,2024-04-23,2024-04-25,Business,South,East,Parcel,Standard,365,Delivered
SHP01208,2024-04-24,2024-04-27,Individual,Central,Central,Electronics,Standard,375,Delayed
SHP00393,2024-04-24,2024-04-26,Individual,West,East,Parcel,Same Day,365,Delivered
SHP01716,2024-04-25,2024-04-29,Business,East,West,Electronics,Standard,385,Delivered
SHP01368,2024-04-25,2024-04-28,Business,North,Central,Parcel,Standard,439,Delivered
SHP00870,2024-04-26,2024-04-30,Business,North,South,Parcel,Standard,281,Delivered
SHP01337,2024-04-26,2024-04-29,Individual,East,Central,Parcel,Standard,150,Delivered
SHP00326,2024-04-26,2024-04-28,Business,West,South,Electronics,Standard,307,Delivered
SHP00725,2024-04-27,2024-05-03,Individual,East,South,Fragile,Express,329,Delivered
SHP00573,2024-04-27,2024-04-29,Individual,West,East,Electronics,Express,134,Delivered
SHP01505,2024-04-28,2024-05-03,Individual,Central,Central,Document,Standard,150,Delivered
SHP01948,2024-04-28,2024-05-02,Business,West,North,Document,Same Day,571,Delivered
SHP00322,2024-04-29,2024-05-04,Individual,East,North,Parcel,Standard,247,Delivered
SHP01373,2024-05-01,2024-05-05,Business,South,West,Document,Express,552,Delayed
SHP00004,2024-05-01,2024-05-03,Business,Central,North,Electronics,Express,354,Delivered
SHP01406,2024-05-01,2024-05-06,Individual,East,East,Parcel,Standard,291,Delivered
SHP01975,2024-05-01,2024-05-05,Individual,South,South,Parcel,Express,302,Delivered
SHP00156,2024-05-02,2024-05-05,Individual,West,Central,Parcel,Express,263,Delivered
SHP01968,2024-05-03,2024-05-07,Business,East,West,Document,Standard,362,Delivered
SHP01839,2024-05-03,2024-05-05,Individual,West,Central,Document,Standard,137,Delayed
SHP01518,2024-05-05,2024-05-08,Individual,West,East,Document,Express,391,Delivered
SHP00685,2024-05-05,2024-05-06,Business,North,East,Parcel,Standard,97,Delivered
SHP00616,2024-05-05,2024-05-06,Business,West,East,Electronics,Express,470,Delivered
SHP00851,2024-05-06,2024-05-11,Individual,Central,South,Document,Standard,125,Delivered
SHP01803,2024-05-07,2024-05-11,Individual,North,West,Electronics,Standard,500,Delivered
SHP00998,2024-05-07,2024-05-12,Business,Central,North,Document,Standard,218,Delayed
SHP00260,2024-05-07,2024-05-11,Business,East,Central,Fragile,Standard,323,Cancelled
SHP00982,2024-05-07,2024-05-13,Individual,South,North,Document,Standard,411,Delivered
SHP01891,2024-05-08,2024-05-10,Individual,North,North,Document,Express,638,Delivered
SHP01531,2024-05-08,2024-05-15,Individual,North,South,Fragile,Standard,232,Failed
SHP01470,2024-05-09,2024-05-13,Individual,North,South,Parcel,Express,508,Delivered
SHP00824,2024-05-09,2024-05-14,Individual,North,North,Fragile,Express,633,Delivered
SHP01780,2024-05-09,2024-05-15,Business,North,East,Document,Standard,96,Delivered
SHP01020,2024-05-09,2024-05-10,Individual,West,North,Parcel,Express,357,Delivered
SHP01054,2024-05-10,2024-05-11,Individual,North,Central,Document,Standard,265,Delivered
SHP00009,2024-05-10,2024-05-11,Individual,Central,Central,Parcel,Express,679,Cancelled
SHP01100,2024-05-10,2024-05-12,Business,South,North,Electronics,Standard,304,Delivered
SHP00777,2024-05-11,2024-05-13,Individual,West,North,Document,Same Day,895,Delayed
SHP01486,2024-05-12,2024-05-15,Individual,South,Central,Electronics,Standard,399,Delivered
SHP01226,2024-05-12,2024-05-14,Business,South,Central,Fragile,Express,407,Delivered
SHP00605,2024-05-12,2024-05-15,Business,South,Central,Document,Standard,416,Delivered
SHP01772,2024-05-13,2024-05-16,Business,Central,West,Fragile,Standard,459,Delivered
SHP00484,2024-05-13,2024-05-15,Business,East,Central,Fragile,Standard,226,Delivered
SHP00089,2024-05-14,2024-05-17,Individual,Central,North,Document,Standard,449,Failed
SHP01085,2024-05-16,2024-05-17,Individual,North,East,Parcel,Express,444,Delivered
SHP00608,2024-05-17,2024-05-20,Business,West,North,Fragile,Express,531,Delivered
SHP01934,2024-05-17,2024-05-21,Individual,West,Central,Parcel,Same Day,464,Delivered
SHP00747,2024-05-18,2024-05-19,Individual,East,East,Parcel,Express,571,Delivered
SHP00741,2024-05-19,2024-05-22,Business,South,West,Document,Express,468,Delayed
SHP00841,2024-05-20,2024-05-24,Individual,West,North,Parcel,Same Day,605,Delivered
SHP01613,2024-05-20,2024-05-23,Business,North,North,Fragile,Standard,332,Failed
SHP01640,2024-05-20,2024-05-21,Individual,Central,Central,Parcel,Express,563,Delivered
SHP00788,2024-05-22,2024-05-26,Individual,East,North,Electronics,Express,407,Delivered
SHP01374,2024-05-22,2024-05-25,Individual,West,Central,Document,Standard,207,Delayed
SHP01763,2024-05-22,2024-05-25,Business,West,South,Document,Standard,422,Delivered
SHP01569,2024-05-22,2024-05-24,Business,North,Central,Fragile,Same Day,385,Cancelled
SHP00165,2024-05-23,2024-05-30,Individual,South,South,Document,Standard,158,Delivered
SHP00184,2024-05-23,2024-05-27,Individual,South,Central,Parcel,Standard,327,Delivered
SHP00429,2024-05-23,2024-05-25,Individual,West,North,Document,Standard,100,Delivered
SHP00688,2024-05-24,2024-05-28,Business,East,South,Fragile,Same Day,356,Delivered
SHP00791,2024-05-24,2024-05-28,Individual,South,West,Fragile,Express,421,Delivered
SHP00536,2024-05-25,2024-05-28,Business,South,East,Parcel,Standard,81,Delivered
SHP01141,2024-05-25,2024-05-26,Business,Central,North,Parcel,Express,692,Delayed
SHP01659,2024-05-25,2024-05-26,Individual,East,West,Parcel,Express,252,Delivered
SHP00959,2024-05-26,2024-05-28,Individual,Central,South,Electronics,Standard,347,Delivered
SHP00173,2024-05-26,2024-06-02,Business,East,East,Fragile,Same Day,725,Delivered
SHP00899,2024-05-27,2024-06-02,Individual,Central,South,Parcel,Standard,375,Delivered
SHP01921,2024-05-27,2024-05-29,Individual,West,South,Electronics,Express,669,Delivered
SHP01980,2024-05-28,2024-05-30,Business,East,South,Fragile,Standard,119,Delivered
SHP01026,2024-05-28,2024-05-31,Individual,Central,West,Parcel,Standard,383,Delivered
SHP01827,2024-05-28,2024-05-30,Business,East,Central,Electronics,Standard,180,Delivered
SHP01705,2024-05-28,2024-06-03,Individual,North,South,Fragile,Express,395,Delivered
SHP01740,2024-05-28,2024-05-31,Individual,Central,East,Document,Express,655,Delivered
SHP01952,2024-05-28,2024-05-30,Individual,North,Central,Document,Same Day,187,Delivered
SHP00294,2024-05-29,2024-06-03,Business,North,North,Parcel,Same Day,423,Delivered
SHP00958,2024-05-30,2024-06-01,Individual,East,South,Fragile,Standard,394,Delayed
SHP01524,2024-05-30,2024-06-03,Business,North,South,Parcel,Express,230,Delivered
SHP00182,2024-05-30,2024-06-02,Individual,West,North,Parcel,Standard,313,Failed
SHP00199,2024-05-31,2024-06-03,Business,Central,Central,Parcel,Standard,489,Delivered
SHP01436,2024-05-31,2024-06-04,Business,East,East,Parcel,Standard,337,Delivered
SHP01650,2024-05-31,2024-06-02,Individual,North,East,Parcel,Standard,319,Delivered
SHP00207,2024-06-01,2024-06-07,Individual,Central,West,Electronics,Express,395,Delivered
SHP01044,2024-06-02,2024-06-04,Business,West,North,Fragile,Express,389,Delivered
SHP00569,2024-06-02,2024-06-09,Individual,North,North,Electronics,Standard,441,Delivered
SHP00341,2024-06-02,2024-06-06,Business,South,East,Fragile,Express,286,Delivered
SHP01845,2024-06-03,2024-06-07,Individual,North,North,Parcel,Express,490,Delivered
SHP00268,2024-06-03,2024-06-10,Business,West,South,Electronics,Standard,131,Delivered
SHP01495,2024-06-04,2024-06-08,Individual,Central,East,Fragile,Express,606,Delivered
SHP00894,2024-06-04,2024-06-05,Business,North,West,Fragile,Same Day,760,Delivered
SHP01295,2024-06-05,2024-06-08,Individual,West,East,Fragile,Standard,495,Delivered
SHP00805,2024-06-05,2024-06-06,Individual,West,East,Electronics,Standard,181,Delayed
SHP00243,2024-06-06,2024-06-08,Individual,North,West,Document,Express,571,Delivered
SHP01427,2024-06-07,2024-06-14,Individual,North,North,Fragile,Express,181,Delayed
SHP01631,2024-06-07,2024-06-12,Individual,West,East,Fragile,Standard,322,Delivered
SHP00372,2024-06-08,2024-06-11,Business,South,North,Parcel,Express,473,Delayed
SHP01957,2024-06-08,2024-06-10,Individual,South,North,Document,Express,188,Delivered
SHP01704,2024-06-08,2024-06-12,Business,South,West,Parcel,Standard,167,Delivered
SHP01179,2024-06-08,2024-06-09,Individual,East,Central,Document,Standard,186,Delivered
SHP00213,2024-06-09,2024-06-11,Business,Central,South,Parcel,Standard,236,Delivered
