Shipment_ID,Order_Date,Delivery_Date,Customer_Type,Origin_Zone,Destination_Zone,Package_Type,Shipping_Mode,Shipping_Cost,Delivery_Days,Delivery_Status,Delivery_Performance
SHP00242,2024-01-17,2024-01-18,Individual,South,North,Document,Standard,282,1,Delayed,Not On Time
SHP01888,2024-01-17,2024-01-20,Individual,West,East,Parcel,Standard,378,3,Delivered,On Time
SHP00916,2024-01-18,2024-01-22,Individual,East,North,Fragile,Standard,319,4,Delivered,Not On Time
SHP00261,2024-01-18,2024-01-19,Individual,East,Central,Document,Same Day,441,1,Delivered,On Time
SHP01560,2024-01-19,2024-01-21,Business,Central,Central,Parcel,Standard,409,2,Delayed,Not On Time
SHP00282,2024-01-20,2024-01-22,Individual,West,North,Parcel,Express,486,2,Delivered,On Time
SHP01602,2024-01-21,2024-01-22,Individual,East,South,Document,Standard,176,1,Delivered,On Time
SHP01449,2024-01-21,2024-01-22,Individual,North,North,Parcel,Same Day,551,1,Delivered,On Time
SHP00033,2024-01-21,2024-01-26,Individual,North,Central,Electronics,Standard,494,5,Delivered,Not On Time
SHP01882,2024-01-21,2024-01-23,Individual,East,Central,Fragile,Standard,388,2,Delivered,On Time
SHP01302,2024-01-21,2024-01-27,Business,East,West,Parcel,Standard,427,6,Delivered,Not On Time
SHP01268,2024-01-22,2024-01-29,Individual,North,Central,Parcel,Standard,329,7,Delivered,Not On Time
SHP00017,2024-01-22,2024-01-27,Individual,Central,North,Fragile,Express,519,5,Delivered,Not On Time
SHP01393,2024-01-22,2024-01-26,Individual,North,Central,Parcel,Standard,293,4,Delivered,Not On Time
SHP00834,2024-01-23,2024-01-24,Individual,South,North,Document,Standard,310,1,Delivered,On Time
SHP00358,2024-01-23,2024-01-24,Business,West,Central,Parcel,Standard,94,1,Delivered,On Time
SHP01429,2024-01-24,2024-01-27,Individual,South,North,Document,Standard,295,3,Delivered,On Time
SHP00886,2024-01-25,2024-01-29,Business,North,Central,Electronics,Express,441,4,Delivered,Not On Time
SHP01052,2024-01-25,2024-01-27,Individual,East,East,Parcel,Express,175,2,Failed,Not On Time
SHP00689,2024-01-25,2024-01-26,Individual,South,North,Parcel,Express,305,1,Delayed,Not On Time
SHP00230,2024-01-27,2024-01-29,Individual,North,Central,Electronics,Standard,460,2,Delivered,On Time
SHP01007,2024-01-27,2024-01-30,Individual,Central,Central,Document,Express,195,3,Cancelled,Not On Time
SHP00665,2024-01-28,2024-01-30,Individual,West,Central,Parcel,Standard,212,2,Delivered,On Time
SHP01473,2024-01-28,2024-02-01,Individual,East,Central,Parcel,Express,130,4,Delivered,Not On Time
SHP00681,2024-01-28,2024-01-31,Individual,South,West,Document,Express,150,3,Delivered,On Time
SHP00993,2024-01-29,2024-02-01,Business,West,East,Electronics,Standard,281,3,Delivered,On Time
SHP01123,2024-01-29,2024-02-04,Business,West,North,Electronics,Standard,437,6,Delivered,Not On Time
SHP00456,2024-01-29,2024-02-04,Individual,West,Central,Electronics,Standard,397,6,Cancelled,Not On Time
SHP01281,2024-01-29,2024-02-03,Business,North,Central,Fragile,Express,227,5,Delivered,Not On Time
SHP01893,2024-01-29,2024-01-30,Business,Central,Central,Document,Standard,217,1,Delivered,On Time
SHP01025,2024-01-29,2024-02-01,Individual,North,West,Electronics,Standard,393,3,Delivered,On Time
SHP00910,2024-02-01,2024-02-06,Individual,South,West,Parcel,Standard,81,5,Delivered,Not On Time
SHP00696,2024-02-03,2024-02-05,Individual,Central,North,Document,Express,160,2,Delivered,On Time
SHP01002,2024-02-03,2024-02-08,Individual,North,Central,Parcel,Express,536,5,Delivered,Not On Time
SHP00566,2024-02-03,2024-02-04,Individual,North,North,Parcel,Express,517,1,Delivered,On Time
SHP01421,2024-02-04,2024-02-05,Individual,West,West,Parcel,Standard,191,1,Delivered,On Time
SHP00048,2024-02-04,2024-02-05,Business,North,Central,Electronics,Standard,173,1,Delayed,Not On Time
SHP00384,2024-02-04,2024-02-05,Individual,South,South,Parcel,Standard,382,1,Delivered,On Time
SHP00280,2024-02-05,2024-02-10,Individual,South,Central,Electronics,Express,168,5,Delayed,Not On Time
SHP01690,2024-02-05,2024-02-12,Individual,West,Central,Document,Express,594,7,Delivered,Not On Time
SHP01637,2024-02-05,2024-02-08,Business,North,North,Parcel,Express,501,3,Delivered,On Time
SHP00409,2024-02-06,2024-02-09,Individual,North,South,Parcel,Express,221,3,Delivered,On Time
SHP01199,2024-02-06,2024-02-09,Individual,South,Central,Document,Express,427,3,Delivered,On Time
SHP01255,2024-02-06,2024-02-08,Individual,East,Central,Fragile,Standard,331,2,Cancelled,Not On Time
SHP01195,2024-02-07,2024-02-10,Business,South,North,Parcel,Same Day,367,3,Delivered,On Time
SHP00226,2024-02-07,2024-02-11,Individual,Central,Central,Fragile,Express,213,4,Delivered,Not On Time
SHP01107,2024-02-08,2024-02-09,Individual,North,North,Document,Standard,334,1,Delivered,On Time
SHP01292,2024-02-08,2024-02-10,Business,North,North,Fragile,Express,442,2,Delivered,On Time
SHP01976,2024-02-08,2024-02-11,Individual,South,West,Fragile,Express,585,3,Delivered,On Time
SHP00467,2024-02-08,2024-02-12,Individual,East,South,Parcel,Standard,121,4,Delivered,Not On Time
SHP01191,2024-02-09,2024-02-12,Business,West,East,Parcel,Express,540,3,Delivered,On Time
SHP01211,2024-02-09,2024-02-15,Business,East,West,Electronics,Express,300,6,Delivered,Not On Time
SHP00513,2024-02-10,2024-02-14,Individual,North,Central,Fragile,Standard,417,4,Delayed,Not On Time
SHP01000,2024-02-10,2024-02-13,Individual,South,South,Parcel,Express,580,3,Delayed,Not On Time
SHP00087,2024-02-10,2024-02-12,Individual,East,East,Fragile,Same Day,799,2,Failed,Not On Time
SHP00999,2024-02-11,2024-02-12,Business,South,South,Document,Express,330,1,Delivered,On Time
SHP01769,2024-02-11,2024-02-14,Individual,North,West,Electronics,Same Day,407,3,Delayed,Not On Time
SHP01051,2024-02-11,2024-02-16,Individual,North,South,Parcel,Standard,165,5,Delivered,Not On Time
SHP00617,2024-02-12,2024-02-16,Individual,West,Central,Parcel,Same Day,698,4,Delivered,Not On Time
SHP01917,2024-02-12,2024-02-13,Individual,Central,West,Electronics,Standard,317,1,Delayed,Not On Time
SHP01594,2024-02-12,2024-02-15,Individual,North,Central,Parcel,Express,276,3,Delivered,On Time
SHP01811,2024-02-12,2024-02-15,Individual,South,West,Fragile,Standard,480,3,Delivered,On Time
SHP00494,2024-02-16,2024-02-17,Business,South,East,Parcel,Standard,249,1,Delayed,Not On Time
SHP00645,2024-02-16,2024-02-18,Individual,West,South,Parcel,Standard,485,2,Delayed,Not On Time
SHP00821,2024-02-16,2024-02-22,Individual,West,West,Parcel,Express,235,6,Cancelled,Not On Time
SHP01075,2024-02-16,2024-02-19,Business,Central,South,Electronics,Standard,191,3,Delayed,Not On Time
SHP00313,2024-02-16,2024-02-20,Individual,West,North,Fragile,Standard,163,4,Delivered,Not On Time
SHP00652,2024-02-17,2024-02-20,Individual,West,North,Parcel,Standard,189,3,Delivered,On Time
SHP01654,2024-02-19,2024-02-20,Business,East,East,Parcel,Express,566,1,Delivered,On Time
SHP01610,2024-02-20,2024-02-25,Individual,West,Central,Parcel,Express,319,5,Delivered,Not On Time
SHP00855,2024-02-20,2024-02-22,Individual,Central,East,Parcel,Express,314,2,Delivered,On Time
SHP00560,2024-02-20,2024-02-23,Individual,South,South,Fragile,Express,388,3,Delivered,On Time
SHP00292,2024-02-20,2024-02-23,Business,Central,North,Document,Express,672,3,Delivered,On Time
SHP00614,2024-02-22,2024-02-28,Individual,Central,West,Parcel,Standard,243,6,Delivered,Not On Time
SHP00200,2024-02-23,2024-02-27,Individual,Central,West,Parcel,Standard,265,4,Delivered,Not On Time
SHP01168,2024-02-23,2024-02-24,Individual,Central,South,Electronics,Express,487,1,Delivered,On Time
SHP01033,2024-02-24,2024-02-27,Business,North,West,Parcel,Express,564,3,Delayed,Not On Time
SHP00927,2024-02-24,2024-02-26,Business,South,South,Electronics,Standard,483,2,Delivered,On Time
SHP01727,2024-02-24,2024-03-02,Business,East,West,Parcel,Express,144,7,Delayed,Not On Time
SHP00932,2024-02-24,2024-02-26,Individual,North,Central,Parcel,Express,241,2,Delivered,On Time
SHP00661,2024-02-25,2024-03-03,Individual,East,South,Electronics,Express,353,7,Delivered,Not On Time
SHP01710,2024-02-27,2024-03-01,Individual,East,Central,Parcel,Express,603,3,Delivered,On Time
SHP00485,2024-02-27,2024-03-01,Individual,West,North,Electronics,Standard,185,3,Delivered,On Time
SHP00981,2024-02-28,2024-03-04,Individual,East,East,Parcel,Standard,319,5,Delayed,Not On Time
SHP01151,2024-03-01,2024-03-02,Business,West,North,Electronics,Express,361,1,Delivered,On Time
SHP01049,2024-03-01,2024-03-04,Individual,South,North,Electronics,Express,672,3,Delivered,On Time
SHP00629,2024-03-01,2024-03-04,Business,Central,West,Parcel,Standard,283,3,Cancelled,Not On Time
SHP01176,2024-03-02,2024-03-05,Individual,South,East,Parcel,Standard,295,3,Cancelled,Not On Time
SHP00414,2024-03-02,2024-03-08,Individual,East,East,Parcel,Standard,130,6,Delivered,Not On Time
SHP00890,2024-03-03,2024-03-07,Business,East,West,Fragile,Express,507,4,Delivered,Not On Time
SHP00540,2024-03-03,2024-03-04,Individual,North,East,Parcel,Standard,412,1,Delivered,On Time
SHP01858,2024-03-05,2024-03-07,Individual,East,West,Document,Same Day,405,2,Delivered,On Time
SHP00076,2024-03-05,2024-03-08,Individual,West,South,Parcel,Standard,170,3,Failed,Not On Time
SHP01474,2024-03-06,2024-03-08,Individual,West,Central,Electronics,Express,281,2,Delivered,On Time
SHP00690,2024-03-07,2024-03-12,Business,North,West,Fragile,Standard,239,5,Delivered,Not On Time
SHP01707,2024-03-07,2024-03-10,Individual,West,South,Fragile,Express,546,3,Delayed,Not On Time
SHP00829,2024-03-09,2024-03-11,Individual,North,Central,Parcel,Standard,481,2,Delivered,On Time
SHP00612,2024-03-09,2024-03-10,Individual,South,West,Electronics,Standard,361,1,Delivered,On Time
SHP01038,2024-03-09,2024-03-11,Business,West,Central,Fragile,Standard,486,2,Delivered,On Time
SHP01343,2024-03-12,2024-03-16,Individual,Central,Central,Document,Express,370,4,Delivered,Not On Time
SHP01776,2024-03-13,2024-03-16,Business,North,South,Parcel,Standard,499,3,Delayed,Not On Time
SHP01045,2024-03-13,2024-03-17,Individual,North,Central,Parcel,Express,658,4,Delivered,Not On Time
SHP01693,2024-03-13,2024-03-15,Business,West,East,Document,Standard,129,2,Delivered,On Time
SHP00587,2024-03-15,2024-03-17,Business,East,East,Parcel,Standard,472,2,Delivered,On Time
SHP00722,2024-03-15,2024-03-17,Business,West,West,Fragile,Express,202,2,Failed,Not On Time
SHP00875,2024-03-15,2024-03-20,Individual,East,East,Document,Express,326,5,Delivered,Not On Time
SHP00996,2024-03-15,2024-03-18,Business,West,South,Parcel,Standard,172,3,Delivered,On Time
SHP00423,2024-03-16,2024-03-19,Individual,Central,North,Fragile,Express,627,3,Delayed,Not On Time
SHP00666,2024-03-18,2024-03-21,Individual,South,Central,Document,Standard,362,3,Delivered,On Time
SHP00775,2024-03-18,2024-03-19,Individual,West,East,Fragile,Standard,492,1,Delivered,On Time
SHP01285,2024-03-19,2024-03-22,Individual,West,North,Document,Standard,366,3,Delivered,On Time
SHP01905,2024-03-19,2024-03-22,Business,Central,North,Parcel,Standard,256,3,Delivered,On Time
SHP00490,2024-03-20,2024-03-25,Business,East,East,Document,Standard,391,5,Delayed,Not On Time
SHP00604,2024-03-21,2024-03-23,Individual,North,Central,Document,Standard,382,2,Delivered,On Time
SHP01235,2024-03-22,2024-03-27,Individual,East,Central,Electronics,Standard,182,5,Delivered,Not On Time
SHP00962,2024-03-22,2024-03-23,Individual,South,Central,Parcel,Standard,368,1,Cancelled,Not On Time
SHP01826,2024-03-23,2024-03-25,Business,North,East,Electronics,Express,505,2,Delayed,Not On Time
SHP00557,2024-03-23,2024-03-25,Individual,South,Central,Parcel,Standard,480,2,Delivered,On Time
SHP01305,2024-03-24,2024-03-28,Individual,West,North,Parcel,Same Day,803,4,Delivered,Not On Time
SHP01584,2024-03-25,2024-03-26,Business,East,West,Document,Standard,271,1,Delivered,On Time
SHP00684,2024-03-26,2024-03-30,Business,South,South,Document,Standard,286,4,Delivered,Not On Time
SHP01535,2024-03-26,2024-03-31,Business,Central,East,Parcel,Standard,239,5,Delivered,Not On Time
SHP01404,2024-03-27,2024-03-31,Business,North,Central,Parcel,Standard,352,4,Delivered,Not On Time
SHP01912,2024-03-27,2024-04-02,Business,North,East,Parcel,Express,608,6,Delivered,Not On Time
SHP01916,2024-03-27,2024-03-28,Business,West,East,Fragile,Standard,176,1,Delivered,On Time
SHP00931,2024-03-27,2024-03-31,Individual,South,Central,Parcel,Standard,211,4,Delivered,Not On Time
SHP00007,2024-03-28,2024-04-01,Individual,South,West,Fragile,Express,641,4,Cancelled,Not On Time
SHP00780,2024-03-29,2024-03-30,Individual,North,Central,Electronics,Standard,139,1,Delivered,On Time
SHP01372,2024-03-30,2024-04-04,Individual,West,North,Parcel,Express,192,5,Delivered,Not On Time
SHP00744,2024-03-30,2024-03-31,Business,North,East,Parcel,Standard,482,1,Delivered,On Time
SHP00387,2024-03-30,2024-04-03,Individual,North,East,Fragile,Standard,489,4,Delivered,Not On Time
SHP00508,2024-03-30,2024-04-02,Individual,South,North,Electronics,Express,137,3,Delivered,On Time
SHP01627,2024-03-30,2024-04-06,Business,South,South,Parcel,Standard,148,7,Cancelled,Not On Time
SHP00465,2024-03-31,2024-04-04,Individual,South,North,Electronics,Standard,447,4,Delivered,Not On Time
SHP01804,2024-04-01,2024-04-07,Individual,South,South,Fragile,Standard,316,6,Delivered,Not On Time
SHP01214,2024-04-01,2024-04-04,Individual,East,West,Parcel,Same Day,463,3,Delivered,On Time
SHP01846,2024-04-01,2024-04-03,Individual,Central,North,Fragile,Standard,433,2,Delayed,Not On Time
SHP01359,2024-04-01,2024-04-04,Individual,West,North,Parcel,Standard,397,3,Delivered,On Time
SHP00044,2024-04-01,2024-04-03,Business,North,West,Parcel,Express,158,2,Delivered,On Time
SHP01423,2024-04-02,2024-04-04,Individual,Central,South,Parcel,Express,673,2,Delivered,On Time
SHP00627,2024-04-02,2024-04-06,Individual,Central,West,Document,Same Day,457,4,Delivered,Not On Time
SHP00347,2024-04-03,2024-04-06,Individual,Central,East,Parcel,Same Day,846,3,Delayed,Not On Time
SHP01787,2024-04-04,2024-04-07,Business,North,West,Electronics,Express,196,3,Delivered,On Time
SHP00825,2024-04-04,2024-04-05,Individual,Central,South,Parcel,Standard,374,1,Delivered,On Time
SHP00621,2024-04-04,2024-04-07,Individual,South,South,Parcel,Express,459,3,Delivered,On Time
SHP00567,2024-04-04,2024-04-11,Individual,South,East,Parcel,Express,136,7,Delivered,Not On Time
SHP00118,2024-04-05,2024-04-11,Individual,East,West,Parcel,Standard,217,6,Failed,Not On Time
SHP00407,2024-04-05,2024-04-12,Business,South,Central,Parcel,Standard,476,7,Delayed,Not On Time
SHP00944,2024-04-05,2024-04-12,Individual,North,Central,Parcel,Standard,270,7,Delivered,Not On Time
SHP01032,2024-04-07,2024-04-10,Individual,East,North,Document,Standard,188,3,Cancelled,Not On Time
SHP00593,2024-04-07,2024-04-09,Individual,Central,East,Fragile,Express,662,2,Delivered,On Time
SHP00247,2024-04-08,2024-04-12,Business,Central,East,Document,Standard,405,4,Delivered,Not On Time
SHP00206,2024-04-08,2024-04-10,Individual,South,Central,Fragile,Same Day,356,2,Delivered,On Time
SHP00098,2024-04-08,2024-04-15,Business,South,North,Parcel,Standard,181,7,Delivered,Not On Time
SHP01453,2024-04-09,2024-04-12,Business,South,South,Document,Standard,205,3,Delivered,On Time
SHP01913,2024-04-10,2024-04-11,Individual,North,North,Fragile,Standard,283,1,Delivered,On Time
SHP01835,2024-04-10,2024-04-13,Individual,East,North,Parcel,Standard,366,3,Failed,Not On Time
SHP01576,2024-04-11,2024-04-16,Individual,South,South,Parcel,Express,644,5,Delivered,Not On Time
SHP01351,2024-04-11,2024-04-13,Individual,West,North,Parcel,Express,409,2,Delivered,On Time
SHP01057,2024-04-11,2024-04-14,Individual,East,South,Parcel,Standard,88,3,Delivered,On Time
SHP00589,2024-04-12,2024-04-14,Individual,West,West,Parcel,Standard,480,2,Delivered,On Time
SHP00795,2024-04-13,2024-04-14,Business,West,North,Fragile,Express,248,1,Delivered,On Time
SHP00203,2024-04-13,2024-04-14,Business,West,East,Document,Standard,185,1,Delivered,On Time
SHP00544,2024-04-14,2024-04-21,Individual,South,South,Fragile,Standard,309,7,Delivered,Not On Time
SHP01886,2024-04-14,2024-04-18,Individual,North,East,Parcel,Express,542,4,Delivered,Not On Time
SHP01376,2024-04-15,2024-04-17,Individual,Central,West,Document,Same Day,511,2,Delivered,On Time
SHP01622,2024-04-15,2024-04-18,Individual,West,West,Parcel,Standard,295,3,Delivered,On Time
SHP00650,2024-04-16,2024-04-21,Individual,West,North,Electronics,Standard,484,5,Delivered,Not On Time
SHP01055,2024-04-17,2024-04-19,Individual,East,West,Document,Standard,235,2,Delivered,On Time
SHP00692,2024-04-18,2024-04-21,Individual,Central,Central,Document,Express,318,3,Delivered,On Time
SHP00438,2024-04-18,2024-04-23,Business,North,Central,Fragile,Standard,191,5,Delivered,Not On Time
SHP00693,2024-04-20,2024-04-21,Individual,West,South,Parcel,Same Day,778,1,Delivered,On Time
SHP00695,2024-04-20,2024-04-24,Individual,West,South,Parcel,Express,451,4,Delivered,Not On Time
SHP01386,2024-04-20,2024-04-27,Individual,East,South,Electronics,Standard,388,7,Delivered,Not On Time
SHP00618,2024-04-20,2024-04-23,Individual,East,South,Document,Standard,341,3,Delivered,On Time
SHP00740,2024-04-22,2024-04-25,Individual,North,East,Fragile,Express,351,3,Delivered,On Time
SHP00145,2024-04-22,2024-04-24,Business,East,North,Document,Express,211,2,Delivered,On Time
SHP01973,2024-04-22,2024-04-24,Individual,Central,East,Parcel,Standard,261,2,Delivered,On Time
SHP01751,2024-04-23,2024-04-24,Individual,South,West,Parcel,Standard,399,1,Cancelled,Not On Time
SHP01538,2024-04-23,2024-04-26,Business,West,Central,Fragile,Same Day,860,3,Delivered,On Time
SHP00923,2024-04-23,2024-04-25,Business,South,East,Parcel,Standard,365,2,Delivered,On Time
SHP01208,2024-04-24,2024-04-27,Individual,Central,Central,Electronics,Standard,375,3,Delayed,Not On Time
SHP00393,2024-04-24,2024-04-26,Individual,West,East,Parcel,Same Day,365,2,Delivered,On Time
SHP01716,2024-04-25,2024-04-29,Business,East,West,Electronics,Standard,385,4,Delivered,Not On Time
SHP01368,2024-04-25,2024-04-28,Business,North,Central,Parcel,Standard,439,3,Delivered,On Time
SHP00870,2024-04-26,2024-04-30,Business,North,South,Parcel,Standard,281,4,Delivered,Not On Time
SHP01337,2024-04-26,2024-04-29,Individual,East,Central,Parcel,Standard,150,3,Delivered,On Time
SHP00326,2024-04-26,2024-04-28,Business,West,South,Electronics,Standard,307,2,Delivered,On Time
SHP00725,2024-04-27,2024-05-03,Individual,East,South,Fragile,Express,329,6,Delivered,Not On Time
SHP00573,2024-04-27,2024-04-29,Individual,West,East,Electronics,Express,134,2,Delivered,On Time
SHP01505,2024-04-28,2024-05-03,Individual,Central,Central,Document,Standard,150,5,Delivered,Not On Time
SHP01948,2024-04-28,2024-05-02,Business,West,North,Document,Same Day,571,4,Delivered,Not On Time
SHP00322,2024-04-29,2024-05-04,Individual,East,North,Parcel,Standard,247,5,Delivered,Not On Time
SHP01373,2024-05-01,2024-05-05,Business,South,West,Document,Express,552,4,Delayed,Not On Time
SHP00004,2024-05-01,2024-05-03,Business,Central,North,Electronics,Express,354,2,Delivered,On Time
SHP01406,2024-05-01,2024-05-06,Individual,East,East,Parcel,Standard,291,5,Delivered,Not On Time
SHP01975,2024-05-01,2024-05-05,Individual,South,South,Parcel,Express,302,4,Delivered,Not On Time
SHP00156,2024-05-02,2024-05-05,Individual,West,Central,Parcel,Express,263,3,Delivered,On Time
SHP01968,2024-05-03,2024-05-07,Business,East,West,Document,Standard,362,4,Delivered,Not On Time
SHP01839,2024-05-03,2024-05-05,Individual,West,Central,Document,Standard,137,2,Delayed,Not On Time
SHP01518,2024-05-05,2024-05-08,Individual,West,East,Document,Express,391,3,Delivered,On Time
SHP00685,2024-05-05,2024-05-06,Business,North,East,Parcel,Standard,97,1,Delivered,On Time
SHP00616,2024-05-05,2024-05-06,Business,West,East,Electronics,Express,470,1,Delivered,On Time
SHP00851,2024-05-06,2024-05-11,Individual,Central,South,Document,Standard,125,5,Delivered,Not On Time
SHP01803,2024-05-07,2024-05-11,Individual,North,West,Electronics,Standard,500,4,Delivered,Not On Time
SHP00998,2024-05-07,2024-05-12,Business,Central,North,Document,Standard,218,5,Delayed,Not On Time
SHP00260,2024-05-07,2024-05-11,Business,East,Central,Fragile,Standard,323,4,Cancelled,Not On Time
SHP00982,2024-05-07,2024-05-13,Individual,South,North,Document,Standard,411,6,Delivered,Not On Time
SHP01891,2024-05-08,2024-05-10,Individual,North,North,Document,Express,638,2,Delivered,On Time
SHP01531,2024-05-08,2024-05-15,Individual,North,South,Fragile,Standard,232,7,Failed,Not On Time
SHP01470,2024-05-09,2024-05-13,Individual,North,South,Parcel,Express,508,4,Delivered,Not On Time
SHP00824,2024-05-09,2024-05-14,Individual,North,North,Fragile,Express,633,5,Delivered,Not On Time
SHP01780,2024-05-09,2024-05-15,Business,North,East,Document,Standard,96,6,Delivered,Not On Time
SHP01020,2024-05-09,2024-05-10,Individual,West,North,Parcel,Express,357,1,Delivered,On Time
SHP01054,2024-05-10,2024-05-11,Individual,North,Central,Document,Standard,265,1,Delivered,On Time
SHP00009,2024-05-10,2024-05-11,Individual,Central,Central,Parcel,Express,679,1,Cancelled,Not On Time
SHP01100,2024-05-10,2024-05-12,Business,South,North,Electronics,Standard,304,2,Delivered,On Time
SHP00777,2024-05-11,2024-05-13,Individual,West,North,Document,Same Day,895,2,Delayed,Not On Time
SHP01486,2024-05-12,2024-05-15,Individual,South,Central,Electronics,Standard,399,3,Delivered,On Time
SHP01226,2024-05-12,2024-05-14,Business,South,Central,Fragile,Express,407,2,Delivered,On Time
SHP00605,2024-05-12,2024-05-15,Business,South,Central,Document,Standard,416,3,Delivered,On Time
SHP01772,2024-05-13,2024-05-16,Business,Central,West,Fragile,Standard,459,3,Delivered,On Time
SHP00484,2024-05-13,2024-05-15,Business,East,Central,Fragile,Standard,226,2,Delivered,On Time
SHP00089,2024-05-14,2024-05-17,Individual,Central,North,Document,Standard,449,3,Failed,Not On Time
SHP01085,2024-05-16,2024-05-17,Individual,North,East,Parcel,Express,444,1,Delivered,On Time
SHP00608,2024-05-17,2024-05-20,Business,West,North,Fragile,Express,531,3,Delivered,On Time
SHP01934,2024-05-17,2024-05-21,Individual,West,Central,Parcel,Same Day,464,4,Delivered,Not On Time
SHP00747,2024-05-18,2024-05-19,Individual,East,East,Parcel,Express,571,1,Delivered,On Time
SHP00741,2024-05-19,2024-05-22,Business,South,West,Document,Express,468,3,Delayed,Not On Time
SHP00841,2024-05-20,2024-05-24,Individual,West,North,Parcel,Same Day,605,4,Delivered,Not On Time
SHP01613,2024-05-20,2024-05-23,Business,North,North,Fragile,Standard,332,3,Failed,Not On Time
SHP01640,2024-05-20,2024-05-21,Individual,Central,Central,Parcel,Express,563,1,Delivered,On Time
SHP00788,2024-05-22,2024-05-26,Individual,East,North,Electronics,Express,407,4,Delivered,Not On Time
SHP01374,2024-05-22,2024-05-25,Individual,West,Central,Document,Standard,207,3,Delayed,Not On Time
